,manufacturer_name,model_name,transmission,color,odometer_value,year_produced,engine_has_gas,engine_type,engine_capacity,body_type,has_warranty,state,drivetrain,price_usd,is_exchangeable,location_region,number_of_photos,up_counter,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,duration_listed
0,Opel,Astra,mechanical,silver,121000,2010,False,gasoline,1.6,sedan,False,owned,front,5999.0,False,East Midlands,11,48,False,True,False,False,False,True,False,False,False,False,76
1,Opel,Astra,automatic,silver,102455,2012,False,gasoline,1.4,universal,False,owned,front,9700.0,False,South West,11,26,False,True,True,True,True,True,True,True,True,True,43
2,Opel,Astra,automatic,black,249000,2008,False,gasoline,1.8,universal,False,owned,front,5800.0,False,North East,6,34,False,True,False,False,True,True,False,False,True,True,40
3,Opel,Astra,automatic,silver,240000,2005,False,gasoline,1.8,hatchback,False,owned,front,4800.0,False,South East,5,23,False,True,False,False,False,True,False,False,True,True,32
4,Opel,Astra,mechanical,black,125000,2010,False,gasoline,1.4,hatchback,False,owned,front,7250.0,False,North East,12,38,False,True,False,False,False,False,False,False,True,True,313
5,Opel,Astra,mechanical,green,250000,1999,False,gasoline,1.6,universal,False,owned,front,2500.0,False,North East,8,3,True,False,False,False,False,False,False,False,False,False,2
6,Opel,Astra,mechanical,silver,183000,2016,False,diesel,1.6,universal,False,owned,front,9950.0,False,North East,5,8,False,True,False,True,False,False,True,True,True,False,30
7,Opel,Astra,mechanical,silver,278000,2002,False,gasoline,1.6,sedan,False,owned,front,4000.0,False,North East,11,17,False,False,False,False,False,False,False,False,False,True,35
8,Opel,Astra,mechanical,white,322000,1992,False,diesel,1.7,universal,False,owned,front,948.5,False,South East,5,1,True,False,False,False,False,False,False,False,False,False,0
9,Opel,Astra,mechanical,silver,98000,2012,False,gasoline,1.6,hatchback,False,owned,front,7600.0,False,North West,14,18,False,True,False,True,False,True,False,True,True,True,31
10,Opel,Astra,mechanical,blue,350000,1996,False,diesel,1.7,universal,False,owned,front,1650.0,False,North East,7,3,True,False,False,False,False,False,False,False,False,False,5
11,Opel,Astra,mechanical,black,215000,2010,False,gasoline,1.4,hatchback,False,owned,front,7800.0,False,East Midlands,37,58,False,True,True,True,True,True,True,True,True,True,185
12,Opel,Astra,mechanical,green,200000,1997,False,diesel,1.6,universal,False,owned,front,1300.0,True,East Midlands,7,2,True,False,False,False,False,False,False,False,False,False,4
13,Opel,Astra,mechanical,silver,250000,2001,False,diesel,1.7,hatchback,False,owned,front,2500.0,False,North East,7,9,True,False,False,False,False,False,False,False,False,False,18
14,Opel,Astra,mechanical,black,253000,2007,False,gasoline,1.6,universal,False,owned,front,5690.0,False,North East,8,3,False,True,False,False,False,True,False,False,True,True,3
15,Opel,Astra,mechanical,black,74000,2012,False,gasoline,1.6,sedan,False,owned,front,9400.0,False,East Midlands,13,13,False,False,False,True,False,True,True,True,True,True,20
16,Opel,Astra,mechanical,red,300000,2000,False,gasoline,1.4,universal,False,owned,front,2200.0,False,North East,6,73,True,False,False,False,False,False,False,False,False,False,80
17,Opel,Astra,mechanical,blue,439489,2007,False,diesel,1.9,universal,False,owned,front,3500.0,True,North East,19,38,False,True,False,False,False,False,False,False,False,True,68
18,Opel,Astra,mechanical,blue,207010,2011,False,diesel,1.7,universal,False,owned,front,6990.0,True,North East,23,32,False,True,False,True,False,True,False,True,True,False,56
19,Opel,Astra,automatic,grey,141000,2012,False,gasoline,1.6,hatchback,False,owned,front,7400.0,True,North East,14,7,False,True,False,False,False,False,False,False,True,False,10
20,Opel,Astra,mechanical,red,291000,1999,False,gasoline,1.6,hatchback,False,owned,front,2700.0,False,West Midlands,25,10,True,False,False,False,False,False,False,False,False,False,12
21,Opel,Astra,mechanical,silver,298000,2008,False,diesel,1.7,universal,False,owned,front,5000.0,False,North East,2,2,False,True,False,True,False,False,False,False,False,True,17
22,Opel,Astra,automatic,black,158000,2008,False,gasoline,1.6,sedan,False,owned,front,5800.0,False,East Midlands,8,9,False,True,False,True,False,True,False,True,True,False,54
23,Opel,Astra,mechanical,silver,332000,2010,False,diesel,1.7,universal,False,owned,front,7700.0,True,North East,4,77,False,True,False,False,False,False,True,True,True,True,149
24,Opel,Astra,mechanical,grey,209000,2009,False,diesel,1.7,universal,False,owned,front,6600.0,False,North East,7,19,False,True,False,True,True,True,False,False,True,True,28
25,Opel,Astra,automatic,silver,165000,2005,False,gasoline,1.6,hatchback,False,owned,front,3800.0,True,South West,2,11,False,True,False,True,True,True,False,True,True,True,14
26,Opel,Astra,mechanical,silver,250000,2004,False,diesel,2.0,universal,False,owned,front,3500.0,True,North East,28,21,False,True,True,False,False,False,False,False,False,False,26
27,Opel,Astra,mechanical,silver,171000,2010,False,diesel,1.3,hatchback,False,owned,front,6500.0,True,North West,10,23,True,False,False,False,False,False,False,False,False,False,80
28,Opel,Astra,automatic,brown,89000,2012,False,gasoline,1.4,universal,False,owned,front,7450.0,True,North East,25,20,True,False,False,False,False,False,False,False,False,False,30
29,Opel,Astra,automatic,white,198000,2011,False,gasoline,1.6,hatchback,False,owned,front,5950.0,True,North East,23,20,True,False,False,False,False,False,False,False,False,False,30
30,Opel,Astra,mechanical,other,127000,1997,False,gasoline,1.6,hatchback,False,owned,front,1000.0,False,North East,8,19,True,False,False,False,False,False,False,False,False,False,64
31,Opel,Astra,mechanical,blue,193000,2008,False,gasoline,1.6,sedan,False,owned,front,5500.0,False,North East,11,1,False,True,True,False,False,True,False,False,True,True,0
32,Opel,Astra,mechanical,grey,175000,2009,False,gasoline,1.4,hatchback,False,owned,front,5450.0,True,North East,15,11,False,True,False,True,False,False,False,False,True,False,12
33,Opel,Astra,mechanical,silver,280000,2008,False,diesel,1.3,universal,False,owned,front,5500.0,True,South West,29,8,False,False,False,True,False,False,True,True,True,False,9
34,Opel,Astra,mechanical,blue,321323,2000,False,diesel,1.7,universal,False,owned,front,2950.0,True,North East,17,17,False,True,False,False,False,False,False,False,False,False,28
35,Opel,Astra,automatic,silver,353301,2002,False,diesel,2.0,universal,False,owned,front,3750.0,True,North East,18,22,True,False,False,False,False,False,False,False,False,False,34
36,Opel,Astra,mechanical,black,125000,2010,False,gasoline,1.4,hatchback,False,owned,front,7250.0,False,North East,20,2,False,True,False,False,False,False,False,False,False,False,2
37,Opel,Astra,mechanical,black,245000,2008,False,gasoline,1.4,hatchback,False,owned,front,4890.0,False,North East,8,9,False,True,False,False,False,False,False,True,True,True,17
38,Opel,Astra,mechanical,silver,198691,2014,False,diesel,1.7,universal,False,owned,front,8950.0,True,North East,11,35,False,True,False,False,False,True,False,False,True,True,49
39,Opel,Astra,mechanical,silver,224000,2010,False,diesel,1.3,universal,False,owned,front,6290.0,False,North East,18,124,False,True,False,False,False,True,True,False,True,False,156
40,Opel,Astra,mechanical,black,123000,2011,False,gasoline,1.6,sedan,False,owned,front,7150.0,False,East Midlands,10,24,True,False,False,False,False,False,False,False,False,False,36
41,Opel,Astra,mechanical,blue,320000,2007,False,gasoline,1.6,universal,False,owned,front,5450.0,False,North East,11,48,False,True,False,False,False,False,False,False,False,False,115
42,Opel,Astra,mechanical,silver,254000,2004,False,diesel,1.7,universal,False,owned,front,4250.0,False,South West,26,14,False,True,False,False,False,False,False,False,False,False,21
43,Opel,Astra,mechanical,blue,339907,2001,False,gasoline,1.6,universal,False,owned,front,3550.0,True,North East,15,14,False,True,False,False,False,False,False,True,True,True,17
44,Opel,Astra,mechanical,blue,274168,2000,False,gasoline,1.6,universal,False,owned,front,3550.0,True,North East,16,3,False,True,False,False,False,False,False,False,False,False,3
45,Opel,Astra,mechanical,grey,119000,2010,False,gasoline,1.4,hatchback,False,owned,front,8900.0,False,North East,8,3,False,True,False,True,False,True,False,True,True,True,15
46,Opel,Astra,automatic,black,170000,2010,False,gasoline,1.6,hatchback,False,owned,front,6980.0,False,North East,9,2,False,True,True,True,True,True,True,True,True,True,34
47,Opel,Astra,mechanical,blue,123456,1999,False,diesel,1.7,hatchback,False,owned,front,2300.0,True,North West,30,11,False,True,False,False,False,False,False,False,False,True,13
48,Opel,Astra,mechanical,grey,200930,2011,False,diesel,1.3,universal,False,owned,front,8900.0,False,North East,19,7,False,True,True,True,True,False,False,True,True,True,17
49,Opel,Astra,mechanical,other,98000,2015,False,diesel,1.6,universal,False,owned,front,10999.0,True,North East,12,32,False,True,True,True,True,True,True,True,True,True,71
50,Opel,Astra,mechanical,red,300000,1992,False,gasoline,1.4,hatchback,False,owned,front,600.0,True,South East,3,5,True,False,False,False,False,False,False,False,False,False,19
51,Opel,Astra,mechanical,white,260000,2006,False,diesel,1.3,universal,False,owned,front,3700.0,True,East Midlands,8,16,False,True,False,False,False,False,False,True,True,True,20
52,Opel,Astra,mechanical,silver,246000,2009,False,gasoline,1.6,universal,False,owned,front,6750.0,False,North East,22,22,False,True,False,False,False,False,False,False,False,False,45
53,Opel,Astra,automatic,black,123456,2008,False,gasoline,1.8,sedan,False,owned,front,5200.0,True,North West,9,32,False,True,False,True,False,True,False,False,True,True,41
54,Opel,Astra,mechanical,blue,270000,2004,False,gasoline,1.4,hatchback,False,owned,front,3100.0,True,South East,3,4,False,False,False,False,False,True,False,False,False,False,5
55,Opel,Astra,mechanical,other,80700,2012,False,gasoline,1.6,hatchback,False,owned,front,8150.0,False,North West,9,23,False,True,False,False,False,False,False,False,True,False,28
56,Opel,Astra,mechanical,black,195000,2007,False,gasoline,1.4,coupe,False,owned,front,5150.0,True,North East,7,6,False,True,True,False,False,False,False,False,False,True,7
57,Opel,Astra,automatic,black,176000,2008,False,gasoline,1.8,hatchback,False,owned,front,5800.0,False,North West,19,62,False,True,True,False,False,True,False,False,False,True,197
58,Opel,Astra,mechanical,black,198000,2006,False,diesel,1.3,universal,False,owned,front,5000.0,True,South West,13,26,True,False,False,False,False,False,False,False,False,False,148
59,Opel,Astra,mechanical,silver,290000,2004,False,diesel,1.7,hatchback,False,owned,front,4700.0,True,East Midlands,10,84,False,True,False,False,False,False,False,False,True,False,127
60,Opel,Astra,mechanical,white,202000,2009,False,gasoline,1.6,universal,False,owned,front,7000.0,True,North West,30,2,False,False,False,True,True,True,True,True,True,True,3
61,Opel,Astra,mechanical,grey,238000,2006,False,gasoline,1.6,hatchback,False,owned,front,4300.0,True,East Midlands,14,6,False,True,True,False,True,True,False,True,True,True,8
62,Opel,Astra,mechanical,blue,448000,1994,False,diesel,1.7,universal,False,owned,front,1650.0,False,North West,24,2,True,False,False,False,False,False,False,False,False,False,2
63,Opel,Astra,mechanical,other,307000,2000,False,gasoline,2.0,coupe,False,owned,front,3300.0,True,North West,12,30,False,True,False,False,True,True,False,False,False,True,116
64,Opel,Astra,mechanical,black,340000,1999,False,diesel,1.7,universal,False,owned,front,3700.0,False,North East,9,32,True,False,False,False,False,False,False,False,False,False,153
65,Opel,Astra,automatic,blue,160000,2009,False,gasoline,1.8,universal,False,owned,front,6900.0,False,South East,10,9,True,False,False,False,False,False,False,False,False,False,11
66,Opel,Astra,mechanical,silver,50000,2014,False,gasoline,1.6,hatchback,False,owned,front,10450.0,False,North East,11,13,False,True,False,False,False,False,False,False,False,False,14
